for NO_TESTS is 0 cond_prob_loop is 0 actual oracle response for each test:
actual_loop_count:252, actual_oracle_response:0 -1 0 
actual_loop_count:253, actual_oracle_response:0 -1 -1 
actual_loop_count:254, actual_oracle_response:-1 0 
actual_loop_count:255, actual_oracle_response:-1 0 
actual_loop_count:256, actual_oracle_response:0 0 
actual_loop_count:257, actual_oracle_response:0 0 
actual_loop_count:258, actual_oracle_response:0 -1 0 
actual_loop_count:259, actual_oracle_response:0 -1 0 
actual_loop_count:260, actual_oracle_response:0 -1 0 
actual_loop_count:261, actual_oracle_response:-1 -1 
actual_loop_count:262, actual_oracle_response:0 0 
actual_loop_count:263, actual_oracle_response:0 0 
actual_loop_count:264, actual_oracle_response:0 0 
actual_loop_count:265, actual_oracle_response:0 0 
actual_loop_count:266, actual_oracle_response:0 -1 0 
actual_loop_count:267, actual_oracle_response:0 0 
actual_loop_count:268, actual_oracle_response:0 0 
actual_loop_count:269, actual_oracle_response:0 0 
actual_loop_count:270, actual_oracle_response:0 -1 0 
actual_loop_count:271, actual_oracle_response:0 -1 0 
actual_loop_count:272, actual_oracle_response:0 0 
actual_loop_count:273, actual_oracle_response:0 -1 0 
actual_loop_count:274, actual_oracle_response:0 -1 0 
actual_loop_count:275, actual_oracle_response:0 -1 -1 
actual_loop_count:276, actual_oracle_response:0 0 
actual_loop_count:277, actual_oracle_response:-1 0 
actual_loop_count:278, actual_oracle_response:0 0 
actual_loop_count:279, actual_oracle_response:0 0 
actual_loop_count:280, actual_oracle_response:0 -1 0 
actual_loop_count:281, actual_oracle_response:0 -1 0 
actual_loop_count:282, actual_oracle_response:0 0 
actual_loop_count:283, actual_oracle_response:0 -1 0 
actual_loop_count:284, actual_oracle_response:0 -1 0 
actual_loop_count:285, actual_oracle_response:0 0 
actual_loop_count:286, actual_oracle_response:0 -1 0 
actual_loop_count:287, actual_oracle_response:0 0 
actual_loop_count:288, actual_oracle_response:0 0 
actual_loop_count:289, actual_oracle_response:0 0 
actual_loop_count:290, actual_oracle_response:0 -1 0 
actual_loop_count:291, actual_oracle_response:-1 0 
actual_loop_count:292, actual_oracle_response:-1 0 
actual_loop_count:293, actual_oracle_response:-1 0 
actual_loop_count:294, actual_oracle_response:0 0 
actual_loop_count:295, actual_oracle_response:-1 0 
actual_loop_count:296, actual_oracle_response:-1 0 
actual_loop_count:297, actual_oracle_response:0 0 
actual_loop_count:298, actual_oracle_response:0 -1 0 
actual_loop_count:299, actual_oracle_response:0 0 
actual_loop_count:300, actual_oracle_response:0 0 
actual_loop_count:301, actual_oracle_response:0 0 
actual_loop_count:302, actual_oracle_response:0 0 
actual_loop_count:303, actual_oracle_response:0 -1 -1 
actual_loop_count:304, actual_oracle_response:0 -1 0 
actual_loop_count:305, actual_oracle_response:0 -1 0 
actual_loop_count:306, actual_oracle_response:-1 -1 
actual_loop_count:307, actual_oracle_response:0 -1 0 
actual_loop_count:308, actual_oracle_response:-1 0 
actual_loop_count:309, actual_oracle_response:0 -1 0 
actual_loop_count:310, actual_oracle_response:0 -1 -1 
actual_loop_count:311, actual_oracle_response:0 -1 -1 
actual_loop_count:312, actual_oracle_response:0 -1 0 
actual_loop_count:313, actual_oracle_response:-1 0 
