for NO_TESTS is 0 cond_prob_loop is 0 u_1_u_2 for each test:
List_count:612, [279, 364]
List_count:613, [323, 364]
List_count:614, [135, 365]
List_count:615, [280, 365]
List_count:616, [47, 366]
List_count:617, [180, 366]
List_count:618, [55, 367]
List_count:619, [93, 367]
List_count:620, [252, 367]
List_count:621, [256, 367]
List_count:622, [218, 368]
List_count:623, [224, 368]
List_count:624, [323, 368]
List_count:625, [63, 369]
List_count:626, [194, 369]
List_count:627, [286, 369]
List_count:628, [307, 369]
List_count:629, [311, 369]
List_count:630, [317, 369]
List_count:631, [180, 370]
List_count:632, [210, 370]
List_count:633, [278, 370]
List_count:634, [319, 370]
List_count:635, [343, 370]
List_count:636, [35, 371]
List_count:637, [161, 371]
List_count:638, [359, 371]
List_count:639, [12, 372]
List_count:640, [187, 372]
List_count:641, [201, 372]
List_count:642, [241, 372]
List_count:643, [90, 373]
List_count:644, [267, 373]
List_count:645, [315, 373]
List_count:646, [5, 374]
List_count:647, [143, 374]
List_count:648, [243, 374]
List_count:649, [65, 375]
List_count:650, [222, 375]
List_count:651, [235, 375]
List_count:652, [269, 375]
List_count:653, [142, 376]
List_count:654, [189, 376]
List_count:655, [267, 376]
List_count:656, [45, 377]
List_count:657, [80, 377]
List_count:658, [178, 377]
List_count:659, [317, 377]
List_count:660, [94, 378]
List_count:661, [189, 378]
List_count:662, [106, 379]
List_count:663, [176, 379]
List_count:664, [233, 379]
List_count:665, [322, 379]
List_count:666, [85, 380]
List_count:667, [307, 380]
List_count:668, [224, 381]
List_count:669, [249, 381]
List_count:670, [277, 381]
List_count:671, [361, 381]
List_count:672, [119, 382]
List_count:673, [242, 382]
List_count:674, [282, 382]
List_count:675, [294, 382]
List_count:676, [103, 383]
List_count:677, [274, 383]
List_count:678, [373, 383]
List_count:679, [35, 384]
List_count:680, [217, 384]
List_count:681, [243, 384]
List_count:682, [320, 384]
List_count:683, [380, 384]
List_count:684, [105, 385]
List_count:685, [160, 385]
List_count:686, [242, 385]
List_count:687, [344, 385]
List_count:688, [77, 386]
List_count:689, [368, 386]
List_count:690, [81, 387]
List_count:691, [253, 387]
List_count:692, [256, 387]
